Blast: S212772057, estimation by block model
Grade_Block,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,agcn,ptaucn,s
A,M1,SD,SI2,OXI,0.142,1.000,579,7436,18175,83,0.158,,111,0.07
B,D3,SDST,SI2,OXI,0.117,1.903,580,1732,4123,15,0.153,,131,0.20
C,D2,ST,AR,OXI,0.019,0.566,198,19272,43149,27,0.013,,69,0.04

