Blast: S212892006, estimation by block model
Grade_Block,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,agcn,ptaucn,s
A,D4,Q,AR,OXI,0.064,1.351,726,13077,22492,46,0.212,,332,0.12
B,M5,STSD,AR,OXI,0.637,7.300,1155,42036,96808,1983,0.610,,96,0.38

