1,808214.896,9157102.309
2,808194.769,9157160.974
3,808212.291,9157165.969
4,808216.165,9157165.379
5,808219.552,9157175.859
6,808219.28,9157214.093
7,808227.354,9157224.272
8,808191.401,9157242.093
9,808192.04,9157220.026
10,808211.784,9157215.852
11,808211.739,9157225.803
12,808191.127,9157235.613
13,808194.913,9157265.539
14,808220.141,9157255.55
15,808221.837,9157264.165
16,808197.517,9157274.831
17,808239.531,9157411.313
18,808221.382,9157428.324
19,808197.176,9157433.986
20,808240.798,9157424.561
21,808233.253,9157425.835
22,808234.245,9157437.722
23,808242.062,9157437.387
24,808243.193,9157449.042
25,808185.939,9157474.207
