Blast: S212860071, estimation by block model
Grade_Block,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,agcn,ptaucn,s
A,M1,SD,SI2,OXI,0.203,4.027,520,9295,22718,148,0.181,2.020,89,0.08
B,D4,ST,AR,OXI,0.036,1.733,172,12221,27363,32,0.007,0.661,18,0.11
C,M5,STSD,AR,OXI,0.252,2.275,1044,4592,10575,86,0.270,2.325,107,0.14
D,D4,STSD,AR,OXI,0.021,2.381,748,12113,27897,19,0.011,0.387,53,0.15

