Blast: S212772048, estimation by block model
Grade_Block,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,agcn,ptaucn,s
A,M1,SD,SI2,OXI,0.437,9.405,752,27557,67349,946,0.406,,93,0.10
B,D2,STSD,AR,OXI,0.045,2.103,154,15086,34743,50,0.016,,36,0.06

