,,Block Model
Blast,Grade Block,Name,Grade block name,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,agcn,ptaucn,s
S212860089,A,,A,D4,Q,AR,OXI,0.158,0.901,549.797,40287,69294,150,0.152,0.000,109.969,0.115
S212860089,B,,B,M7,Q,AR,OXI,0.742,1.417,720.990,15653,26923,741,0.615,0.000,264.751,0.119
S212860089,C,,C,M5,STSD,AR,OXI,0.296,1.296,705.176,45826,105538,923,0.255,0.000,87.368,0.137
S212860089,D,,D,D4,FPD,AR,OXI,0.059,0.668,899.574,6483,13225,21,0.020,0.000,59.624,0.480
