PTO,ESTE,NORTE
1,807678.01,9157533.629
2,807648.025,9157563.591
3,807655.354,9157569.726
4,807677.874,9157565.485
5,807697.692,9157550.16
6,807711.407,9157561.679
7,807742.862,9157551.987
8,807745.74,9157562.672
9,807755.853,9157581.118
10,807764.756,9157580.661
11,807748.991,9157556.691
12,807776.743,9157555.496
13,807785.176,9157518.503
14,807792.836,9157520.89
15,807827.582,9157511.946
16,807832.922,9157551.322
17,807775.667,9157576.979
18,807758.593,9157591.113
19,807754.658,9157612.92
20,807728.383,9157622.271
21,807728.404,9157599.074
22,807716.349,9157598.75
23,807721.185,9157624.833
24,807715.94,9157620.443
