Blast: S212788018, estimation by block model
Grade_Block,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,agcn,ptaucn,s
A,D2,STSD,AR,OXI,0.132,0.885,302,5462,12578,53,0.091,,69,0.02
B,M1,SD,SI2,OXI,0.590,2.753,740,12319,30107,571,0.577,,98,0.05
C,M1,SD,SI2,OXI,0.182,0.905,474,24746,60479,355,0.211,,116,0.12
D,D2,ST,AR,OXI,0.066,0.699,251,20141,45095,96,0.047,,71,0.04

