Blast: S212876058, estimation by block model
Grade_Block,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,agcn,ptaucn,s
A,D2,FPD,AR,OXI,0.093,2.667,421,2135,4356,13,0.090,,97,0.07
B,M7,ST,AR,OXI,0.378,3.569,794,14961,33497,407,0.310,,82,0.22
C,M4,FPD,SI2,OXI,0.409,6.717,794,4510,9200,121,0.363,,89,0.33

