PTO,ESTE,NORTE
1,808555.714,9157040.745
2,808573.28,9157015.511
3,808470.469,9156950.815
4,808468.177,9156953.082
5,808437.815,9156938.35
6,808442.014,9156934.523
7,808410.908,9156927.094
8,808402.46,9156931.931
9,808407.15,9156936.325
10,808404.654,9156937.517
