Blast: S212868088, estimation by block model
Grade_Block,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,agcn,ptaucn,s
A,D4,FPD,AR,OXI,0.087,1.309,582,4565,9313,26,0.039,,45,0.68
E,M5,STSD,AR,OXI,0.534,3.339,901,5222,12027,206,0.512,,96,0.81
C,D4,Q,AR,OXI,0.145,3.041,603,1360,2339,11,0.141,,97,0.52
D,M3,STSD,SI2,OXI,0.409,5.065,688,5027,11578,152,0.354,,86,0.36
B,M9,STSD,SI1,OXI,0.763,10.099,1087,58165,133954,3288,0.622,,81,0.60

