Blast: S212868065, estimation by block model
Grade_Block,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,agcn,ptaucn,s
A,D2,STSD,AR,OXI,0.018,0.578,412,17487,40272,24,0.011,0.201,58,0.08
B,D3,SD,SI2,OXI,0.047,1.286,706,16194,39578,60,0.023,,49,0.15

