Blast: S212868077, estimation by block model
Grade_Block,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,agcn,ptaucn,s
A,M7,ST,AR,OXI,1.319,2.407,740,3506,7850,333,0.659,,50,0.18
C,D4,FPD,AR,OXI,0.132,1.815,396,7507,15315,65,0.107,,81,0.40
B,M7,ST,AR,OXI,0.377,2.226,722,8373,18747,227,0.407,,108,0.17
D,M7,ST,AR,OXI,2.684,26.877,2223,8084,18100,1562,3.234,,120,0.45
E,M7,ST,AR,OXI,0.511,2.101,810,8982,20110,331,0.626,,122,0.28

