Blast: S212772049, estimation by block model
Grade_Block,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,agcn,ptaucn,s
A,M9,ST,SI1,OXI,0.385,3.649,1207,1822,4079,50,0.262,,68,1.60
B,D5,ST,SI1,MIX,0.313,2.961,981,6268,14034,141,0.296,,94,6.58
C,D4,ST,AR,OXI,0.096,0.927,637,10900,24406,75,0.056,,59,0.45
D,M1,SD,SI2,OXI,0.473,3.113,1262,5172,12640,192,0.332,,70,0.12

