Blast: S212788024, estimation by block model
Grade_Block,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,agcn,ptaucn,s
A,M2,SDST,SI2,OXI,0.313,6.061,427,3784,9005,91,0.197,,63,0.09
B,D2,STSD,AR,OXI,0.058,0.946,214,21758,50109,94,0.042,,73,0.04

