,,Block Model
Blast,Grade Block,Name,Grade block name,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,ptaucn,s
S212956182,A,,A,D2,STSD,AR,OXI,0.066,0.446,-999.000,36616,84326,178,0.000,0.000,-999.000
S212956182,B,,B,M2,SDST,SI2,OXI,0.643,10.905,-999.000,11983,28519,589,0.000,0.000,-999.000
S212956182,C,,C,D2,STSD,AR,OXI,0.131,1.250,678.602,14357,33063,140,0.123,93.254,0.044
S212956182,D,,D,M5,STSD,AR,OXI,0.453,3.882,1335.714,9046,20832,304,0.354,78.042,0.098
