Blast,Grade block name,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,ptaucn,s
S212844167,A,M1,SD,SI2,OXI,0.243,2.181,693.965,4243,10370,81,0.321,132.263,0.226
S212844167,B,D4,ST,AR,OXI,0.168,0.697,587.334,47690,106778,576,0.115,68.591,0.228
S212844167,C,M1,SD,SI2,OXI,0.189,1.357,590.778,2448,5983,36,0.188,99.512,0.21
S212844167,D,M9,Q,SI1,OXI,0.386,4.983,792.396,7182,12352,153,0.303,78.623,0.414
