Blast: S212900008, estimation by block model
Grade_Block,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,agcn,ptaucn,s
B,D4,Q,AR,OXI,0.103,1.189,447,49350,84882,281,0.068,,66,0.26
A,M7,Q,AR,OXI,0.535,7.923,741,9403,16172,278,0.478,,89,0.74
C,M5,STSD,AR,OXI,0.251,1.328,703,3713,8551,69,0.208,,83,0.47

