Blast: S212884064, estimation by block model
Grade_Block,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,agcn,ptaucn,s
C,M9,STSD,SI1,OXI,0.614,8.850,1041,15340,35329,698,0.543,,88,0.75
B,D4,FPD,AR,OXI,0.138,2.728,675,3953,8064,36,0.085,,62,0.72
D,D4,STSD,SI1,OXI,0.154,12.690,1058,880,2027,10,0.629,,409,1.05
A,M5,STSD,AR,OXI,0.477,5.050,687,13199,30396,466,0.421,,88,0.13

