PTO,ESTE,NORTE
1,807644.349,9157573.278
2,807636.205,9157546.516
3,807646.383,9157541.987
4,807672.242,9157503.97
5,807681.224,9157513.806
6,807677.743,9157552.94
7,807679.149,9157585.061
8,807628.885,9157522.46
9,807623.473,9157504.676
10,807634.831,9157497.959
11,807649.771,9157479.362
12,807657.727,9157488.075
13,807646.883,9157509.821
14,807615.312,9157494.529
15,807610.897,9157491.092
16,807636.651,9157464.995
17,807625.565,9157495.139
18,807619.277,9157489.905
19,807605.388,9157496.675
20,807591.389,9157486.971
21,807581.153,9157473.914
22,807595.277,9157456.906
23,807588.865,9157446.907
24,807605.865,9157431.467
25,807624.068,9157451.216
26,807555.897,9157428.905
27,807570.747,9157413.672
28,807580.338,9157403.81
29,807598.237,9157423.203
30,807575.191,9157446.762
31,807577.183,9157388.92
32,807567.183,9157384.195
33,807590.006,9157363.431
34,807594.966,9157380.598
35,807583.739,9157398.412
36,807503.608,9157449.972
37,807507.093,9157440.648
38,807527.289,9157420.489
39,807546.923,9157438.308
40,807513.669,9157462.424
41,807520.788,9157469.404
42,807556.114,9157446.589
43,807566.199,9157455.954
44,807549.856,9157472.66
45,807538.331,9157486.693
46,807534.151,9157488.876
47,807531.86,9157482.24
48,807537.708,9157499.181
49,807547.741,9157492.97
50,807591.49,9157522.309
51,807610.259,9157577.412
52,807587.296,9157585.678
53,807575.39,9157542.964
54,807555.297,9157550.133
55,807569.519,9157591.333
56,807581.74,9157608.789
57,807564.567,9157606.569
58,807582.866,9157694.054
59,807572.245,9157692.354
60,807589.945,9157636.737
61,807626.748,9157625.819
62,807639.843,9157664.26
63,807643.302,9157678.091
64,807592.614,9157668.219
65,807539.444,9157683.874
66,807650.933,9157708.603
