Blast,Grade block name,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,ptaucn,s
S212820164,A,D2,Q,AR,OXI,0.015,0.446,273.924,27224,46825,22,0.007,47.168,0.05
S212820164,B,M1,SD,SI2,OXI,0.038,2.116,599.354,28388,69380,84,0.121,321.792,0.073
S212820164,C,D1,SDST,SI2,OXI,0.02,1.695,181.177,3886,9248,6,0,0,0.039
S212820164,D,D1,SD,SI2,OXI,0.03,2.934,-999,12673,30973,29,0,0,0.038
