Blast: S212884010, estimation by block model
Grade_Block,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,agcn,ptaucn,s
A,M2,SDST,SI2,OXI,0.382,4.201,720,37787,89934,1106,0.370,,97,0.19
B,M5,STSD,AR,OXI,0.430,2.116,853,6908,15909,220,0.359,,83,0.10
C,D4,STSD,AR,OXI,0.174,1.485,598,1791,4124,23,0.149,,85,0.18

