Blast: S212788026, estimation by block model
Grade_Block,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,agcn,ptaucn,s
A,D2,ST,AR,OXI,0.119,0.680,392,5524,12368,47,0.057,,48,0.09
B,M7,ST,AR,OXI,0.375,2.274,1513,3836,8589,103,0.330,,88,0.63
C,M3,ST,SI2,OXI,0.324,2.677,910,8533,19105,199,0.281,,87,0.76
D,D5,ST,SI2,MIX,0.081,0.873,315,5836,13067,34,0.028,,35,2.22

