PTO,ESTE,NORTE
1,807508.164,9157439.288
2,807483.595,9157467.677
3,807479.342,9157480.369
4,807499.955,9157462.864
5,807495.254,9157472.37
6,807502.157,9157474.916
7,807510.125,9157468.724
8,807532.535,9157484.284
9,807519.704,9157489.714
10,807535.938,9157494.223
11,807523.46,9157499.603
12,807509.31,9157503.077
13,807540.681,9157507.907
14,807535.621,9157509.949
15,807529.363,9157509.416
16,807515.528,9157518.626
17,807510.266,9157518.72
18,807503.177,9157519.365
19,807496.412,9157515.889
20,807492.56,9157521.62
21,807507.967,9157529.497
22,807541.57,9157510.472
23,807553.733,9157545.681
24,807520.05,9157569.596
25,807544.7,9157581.447
26,807566.264,9157582.02
27,807548.255,9157656.475
