,,Block Model
Blast,Grade Block,Name,Grade block name,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,ptaucn,s
S212764251,A,,A,D5,STSD,AR,MIX,0.207,6.563,475.058,5474,12606,84,0.077,37.095,3.629
S212764251,B,,B,M8,SDST,SI1,OXI,1.064,16.038,607.404,8036,19126,654,0.855,80.414,0.572
S212764251,C,,C,D5,STSD,AR,MIX,0.334,11.444,-999.000,1606,3698,40,0.640,191.857,-999.000
S212764251,D,,D,M5,STSD,AR,OXI,1.108,5.870,1649.953,5360,12343,440,1.019,92.025,0.033
S212764251,E,,E,M5,STSD,AR,OXI,0.662,11.092,1025.496,6586,15167,323,0.648,97.866,0.192
S212764251,F,,F,M1,SD,SI2,OXI,0.555,3.965,1657.204,10337,25262,451,0.969,174.705,0.050
S212764251,G,,G,D5,ST,AR,MIX,0.118,8.857,883.223,2160,4837,18,0.366,309.614,0.247
