Blast: S212860079, estimation by block model
Grade_Block,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,agcn,ptaucn,s
A,M7,ST,AR,OXI,0.282,1.434,1250,2278,5101,46,0.328,1.231,116,0.19
B,D2,ST,AR,OXI,0.045,0.886,520,29048,65037,93,0.036,0.479,81,0.10

