PTO,  ESTE,NORTE
1,807882.958,9157377.143
2,807868.549,9157369.61
3,807821.047,9157371.337
4,807838.8,9157401.033
5,807849.117,9157403.252
6,807853.375,9157416.871
7,807834.748,9157415.94
8,807806.484,9157458.863
9,807786.877,9157457.744
10,807788.138,9157437.998
11,807781.364,9157420.114
12,807746.786,9157451.573
13,807752.46,9157455.78
