Blast: S212796002, estimation by block model
Grade_Block,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,agcn,ptaucn,s
A,M1,SD,SI2,OXI,0.266,2.362,482,3940,9629,82,0.329,,124,0.03
B,D2,STSD,AR,OXI,0.036,0.561,252,23570,54283,63,0.024,,65,0.01

