,,Block Model
Blast,Grade Block,Name,Grade block name,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,ptaucn,s
S212924248,A,,A,D1,SDST,SI1,OXI,0.095,0.703,575.101,4133,9836,30,0.081,85.179,0.014
S212924248,B,,B,D2,STSD,AR,OXI,0.100,0.591,606.154,3514,8092,26,0.080,79.822,0.035
S212924248,C,,C,M5,STSD,AR,OXI,0.326,1.454,635.171,2841,6543,69,0.086,26.453,0.050
S212924248,D,,D,D2,STSD,AR,OXI,0.081,0.610,647.608,19412,44705,117,0.101,125.009,0.011
S212924248,E,,E,M2,SDST,SI2,OXI,0.145,1.068,474.206,15643,37231,174,0.073,50.238,60.668
S212924248,F,,F,D4,STSD,AR,OXI,0.065,0.937,543.531,17380,40026,83,0.062,95.111,109.228
