PTO,ESTE,NORTE
1,808001.105,9157579.064
2,807993.209,9157556.478
3,808036.663,9157514.579
4,808063.189,9157499.298
5,808030.671,9157534.126
6,808012.739,9157558.507
7,808015.69,9157578.626
8,808075.856,9157492.002
9,808082.127,9157480.666
10,808085.782,9157480.62
11,808090.037,9157498.404
12,808069.799,9157511.551
13,808051.784,9157577.542
14,808088.5,9157576.439
15,808083.263,9157552.814
16,808072.479,9157553.555
17,808073.062,9157522.216
18,808093.353,9157512.264
19,808097.005,9157527.53
