Blast: S212852084, estimation by block model
Grade_Block,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,agcn,ptaucn,s
A,M1,SD,SI2,OXI,0.259,3.733,599,5701,13934,116,0.202,,78,0.10
B,D4,STSD,AR,OXI,0.046,1.039,254,29185,67214,99,0.025,1.310,54,0.21
C,M9,STSD,SI1,OXI,0.450,3.669,1123,6209,14299,207,0.371,3.059,82,0.46
D,M3,STSD,SI2,OXI,0.327,3.084,1205,5995,13806,145,0.268,5.198,82,0.60
E,D2,STSD,AR,OXI,0.062,0.959,405,18977,43704,87,0.031,5.520,49,0.08

