,,Block Model
Blast,Grade Block,Name,Grade block name,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,agcn,ptaucn,s
S212852096,A,,A,D2,STSD,AR,OXI,0.011,0.534,211.865,25802,59421,21,0.005,0.000,47.424,0.044
S212852096,B,,B,M1,SD,SI2,OXI,0.125,1.126,608.396,2591,6332,26,0.041,0.000,32.390,0.110
S212852096,C,,C,D1,SD,SI2,OXI,0.029,0.693,453.969,21720,53084,49,0.010,0.000,33.543,0.085
