Blast: S212868039, estimation by block model
Grade_Block,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,agcn,ptaucn,s
A,M7,Q,AR,OXI,0.348,1.010,614,17201,29586,331,0.411,,118,0.16
B,M5,STSD,AR,OXI,0.401,1.048,709,11181,25750,332,0.379,,94,0.21
C,D4,FPD,AR,OXI,0.098,0.755,882,22219,45328,143,0.074,,75,0.39

