PTO,ESTE,NORTE
1,807768.147,9157489.02
2,807726.695,9157467.707
3,807718.566,9157463.484
4,807709.275,9157458.693
5,807718.463,9157481.918
6,807729.958,9157482.049
7,807752.551,9157499.73
8,807695.714,9157502.621
9,807679.622,9157509.439
10,807667.869,9157504.322
11,807660.115,9157512.909
12,807679.694,9157524.741
13,807655.239,9157518.251
14,807657.484,9157524.664
15,807692.151,9157541.141
16,807679.51,9157536.617
17,807665.151,9157538.738
18,807660.354,9157550.448
19,807635.81,9157547.02
20,807660.945,9157562.536
21,807639.458,9157566.176
22,807635.524,9157567.312
23,807645.468,9157573.138
