Blast: S212788028, estimation by block model
Grade_Block,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,agcn,ptaucn,s
A,M1,SD,SI2,OXI,0.197,0.827,416,3820,9336,59,0.208,,105,0.04
C,D2,STSD,AR,OXI,0.046,2.036,270,26047,59985,89,0.014,,30,0.05
B,D1,SDST,SI2,OXI,0.142,2.058,523,2463,5862,27,0.195,,137,0.08

