Blast: S212876046, estimation by block model
Grade_Block,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,agcn,ptaucn,s
A,M7,Q,AR,OXI,0.241,1.689,743,6437,11071,86,0.213,,89,0.12
B,D4,FPD,AR,OXI,0.142,0.713,2227,5656,11539,53,0.177,,125,0.59
C,D2,Q,AR,OXI,0.116,1.214,515,7965,13700,51,0.107,,92,0.09
D,M5,STSD,AR,OXI,0.742,1.580,805,14434,33241,793,0.566,,76,0.18
E,M7,Q,AR,OXI,0.328,2.229,790,3185,5478,58,0.405,,124,0.15

