Blast: S212860066, estimation by block model
Grade_Block,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,agcn,ptaucn,s
A,M7,Q,AR,OXI,0.355,2.432,527,9928,17076,195,0.374,0.928,105,0.11
B,D2,STSD,AR,OXI,0.108,2.588,248,10704,24651,86,0.077,1.148,71,0.07
C,M1,SD,SI2,OXI,0.139,3.031,449,5931,14496,65,0.155,1.706,111,0.10

