Blast: S212876029, estimation by block model
Grade_Block,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,agcn,ptaucn,s
A,M2,SDST,SI2,OXI,0.342,1.702,879,4483,10669,117,0.292,,85,0.09
B,M7,ST,AR,OXI,0.324,0.971,804,8813,19732,206,0.282,,87,0.07
C,M7,ST,AR,OXI,0.751,2.198,716,6024,13489,326,0.564,,75,0.12
D,D2,ST,AR,OXI,0.156,0.615,614,6472,14490,73,0.145,,93,0.03
E,M6,ST,AR,OXI,0.205,0.693,586,7923,17739,117,0.202,,99,0.06

