Blast: S212788015, estimation by block model
Grade_Block,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,agcn,ptaucn,s
A,M1,SD,SI2,OXI,0.307,5.610,658,16953,41433,408,0.214,,70,0.13
B,D4,STSD,AR,OXI,0.078,1.220,418,21726,50035,125,0.046,,59,0.34

