Blast: S212764067, estimation by block model
Grade_Block,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,agcn,ptaucn,s
A,D5,STSD,SI2,SUL,0.188,2.191,663,19594,45125,273,0.032,,17,5.67
B,M5,STSD,AR,OXI,0.255,1.956,1301,8507,19592,160,0.241,,95,0.27

