Blast: S212788013, estimation by block model
Grade_Block,material,lito,alte,orezonet,au,ag,as,volume,tonnes,onzas,aucn,agcn,ptaucn,s
A,D2,STSD,AR,OXI,0.122,1.054,84,762,1754,7,0.015,,13,0.05
B,M1,SD,SI2,OXI,0.405,10.530,887,12738,31132,405,0.418,,103,0.09
C,D2,STSD,AR,OXI,0.057,0.594,305,3658,8424,15,0.027,,46,0.06
D,M1,SD,SI2,OXI,0.217,1.376,362,2313,5652,39,0.174,,80,0.03

